id,name,description,is_active,created_at,updated_at,manager_id,location,warehouse_type,code
1,مخزن المصنع (مواد خام و تعبئه),مخزن المصنع (مواد خام و تعبئه) فوق,1,2025-07-05 11:32:54.776398,2025-07-05 11:32:54.776398,1,,components,W-0001
2,مخزن المصنع (اقمشه),,1,2025-07-05 13:43:51.272126,2025-07-05 13:43:51.272126,1,,textile,W-0002
3,مخزن منتج نهائي,,1,2025-07-06 07:03:20.387412,2025-07-06 07:03:20.387412,1,,finished_goods,W-0003
4,مخزن المصنع (منتج نهائي),,1,2025-07-23 12:54:14.483084,2025-07-23 12:54:14.483084,1,,finished_goods,W-0004
5,الدولاب,الدولاب التحت,1,2025-07-23 13:12:48.671485,2025-07-23 13:12:48.671485,1,,components,W-0005
