id,piece_type,size,quantity,length,reserved_for_assembly,notes,cutting_process_id,width
719,جيب ساعة,32,164,,0,,14,
720,دوبلير كمر,32,164,,0,,14,
721,ظهر يمين,33,164,,0,,14,
722,ظهر شمال,33,164,,0,,14,
723,سدر يمين,33,164,,0,,14,
724,سدر شمال,33,164,,0,,14,
725,كمر,33,164,,0,,14,
726,باليتة سوستة,33,164,,0,,14,
727,جيب أمامي,33,328,,0,,14,
728,جيب خلفي,33,328,,0,,14,
729,بطانة جيب,33,656,,0,,14,
730,كسر سوستة,33,164,,0,,14,
731,جيب ساعة,33,164,,0,,14,
732,دوبلير كمر,33,164,,0,,14,
733,ظهر يمين,34,164,,0,,14,
734,ظهر شمال,34,164,,0,,14,
735,سدر يمين,34,164,,0,,14,
736,سدر شمال,34,164,,0,,14,
737,كمر,34,164,,0,,14,
738,باليتة سوستة,34,164,,0,,14,
739,جيب أمامي,34,328,,0,,14,
740,جيب خلفي,34,328,,0,,14,
741,بطانة جيب,34,656,,0,,14,
742,كسر سوستة,34,164,,0,,14,
743,جيب ساعة,34,164,,0,,14,
744,دوبلير كمر,34,164,,0,,14,
745,ظهر يمين,36,164,,0,,14,
746,ظهر شمال,36,164,,0,,14,
747,سدر يمين,36,164,,0,,14,
748,سدر شمال,36,164,,0,,14,
749,كمر,36,164,,0,,14,
750,باليتة سوستة,36,164,,0,,14,
751,جيب أمامي,36,328,,0,,14,
752,جيب خلفي,36,328,,0,,14,
753,بطانة جيب,36,656,,0,,14,
754,كسر سوستة,36,164,,0,,14,
755,جيب ساعة,36,164,,0,,14,
756,دوبلير كمر,36,164,,0,,14,
757,ظهر يمين,38,164,,0,,14,
758,ظهر شمال,38,164,,0,,14,
759,سدر يمين,38,164,,0,,14,
760,سدر شمال,38,164,,0,,14,
761,كمر,38,164,,0,,14,
762,باليتة سوستة,38,164,,0,,14,
763,جيب أمامي,38,328,,0,,14,
764,جيب خلفي,38,328,,0,,14,
765,بطانة جيب,38,656,,0,,14,
766,كسر سوستة,38,164,,0,,14,
767,جيب ساعة,38,164,,0,,14,
768,دوبلير كمر,38,164,,0,,14,
769,ظهر يمين,30,104,,0,,15,
770,ظهر شمال,30,104,,0,,15,
771,سدر يمين,30,104,,0,,15,
772,سدر شمال,30,104,,0,,15,
773,كمر,30,104,,0,,15,
774,باليتة سوستة,30,104,,0,,15,
775,جيب أمامي,30,208,,0,,15,
776,جيب خلفي,30,208,,0,,15,
777,بطانة جيب,30,416,,0,,15,
778,كسر سوستة,30,104,,0,,15,
779,جيب ساعة,30,104,,0,,15,
780,دوبلير كمر,30,104,,0,,15,
781,ظهر يمين,32,104,,0,,15,
782,ظهر شمال,32,104,,0,,15,
783,سدر يمين,32,104,,0,,15,
784,سدر شمال,32,104,,0,,15,
785,كمر,32,104,,0,,15,
786,باليتة سوستة,32,104,,0,,15,
787,جيب أمامي,32,208,,0,,15,
788,جيب خلفي,32,208,,0,,15,
789,بطانة جيب,32,416,,0,,15,
790,كسر سوستة,32,104,,0,,15,
791,جيب ساعة,32,104,,0,,15,
792,دوبلير كمر,32,104,,0,,15,
793,ظهر يمين,33,104,,0,,15,
794,ظهر شمال,33,104,,0,,15,
795,سدر يمين,33,104,,0,,15,
796,سدر شمال,33,104,,0,,15,
797,كمر,33,104,,0,,15,
798,باليتة سوستة,33,104,,0,,15,
799,جيب أمامي,33,208,,0,,15,
800,جيب خلفي,33,208,,0,,15,
801,بطانة جيب,33,416,,0,,15,
802,كسر سوستة,33,104,,0,,15,
803,جيب ساعة,33,104,,0,,15,
804,دوبلير كمر,33,104,,0,,15,
805,ظهر يمين,34,104,,0,,15,
806,ظهر شمال,34,104,,0,,15,
807,سدر يمين,34,104,,0,,15,
808,سدر شمال,34,104,,0,,15,
809,كمر,34,104,,0,,15,
810,باليتة سوستة,34,104,,0,,15,
811,جيب أمامي,34,208,,0,,15,
812,جيب خلفي,34,208,,0,,15,
813,بطانة جيب,34,416,,0,,15,
814,كسر سوستة,34,104,,0,,15,
815,جيب ساعة,34,104,,0,,15,
816,دوبلير كمر,34,104,,0,,15,
817,ظهر يمين,36,104,,0,,15,
818,ظهر شمال,36,104,,0,,15,
819,سدر يمين,36,104,,0,,15,
820,سدر شمال,36,104,,0,,15,
821,كمر,36,104,,0,,15,
822,باليتة سوستة,36,104,,0,,15,
823,جيب أمامي,36,208,,0,,15,
824,جيب خلفي,36,208,,0,,15,
825,بطانة جيب,36,416,,0,,15,
826,كسر سوستة,36,104,,0,,15,
827,جيب ساعة,36,104,,0,,15,
828,دوبلير كمر,36,104,,0,,15,
829,ظهر يمين,38,104,,0,,15,
830,ظهر شمال,38,104,,0,,15,
831,سدر يمين,38,104,,0,,15,
832,سدر شمال,38,104,,0,,15,
833,كمر,38,104,,0,,15,
834,باليتة سوستة,38,104,,0,,15,
835,جيب أمامي,38,208,,0,,15,
836,جيب خلفي,38,208,,0,,15,
837,بطانة جيب,38,416,,0,,15,
838,كسر سوستة,38,104,,0,,15,
839,جيب ساعة,38,104,,0,,15,
840,دوبلير كمر,38,104,,0,,15,
841,ظهر يمين,36,172,,0,,16,
842,ظهر شمال,36,172,,0,,16,
843,سدر يمين,36,172,,0,,16,
844,سدر شمال,36,172,,0,,16,
845,كمر,36,172,,0,,16,
846,باليتة سوستة,36,172,,0,,16,
847,جيب أمامي,36,344,,0,,16,
848,جيب خلفي,36,344,,0,,16,
849,بطانة جيب,36,688,,0,,16,
850,كسر سوستة,36,172,,0,,16,
851,جيب ساعة,36,172,,0,,16,
852,دوبلير كمر,36,172,,0,,16,
853,ظهر يمين,38,172,,0,,16,
854,ظهر شمال,38,172,,0,,16,
855,سدر يمين,38,172,,0,,16,
856,سدر شمال,38,172,,0,,16,
857,كمر,38,172,,0,,16,
858,باليتة سوستة,38,172,,0,,16,
859,جيب أمامي,38,344,,0,,16,
860,جيب خلفي,38,344,,0,,16,
861,بطانة جيب,38,688,,0,,16,
862,كسر سوستة,38,172,,0,,16,
863,جيب ساعة,38,172,,0,,16,
864,دوبلير كمر,38,172,,0,,16,
865,ظهر يمين,40,172,,0,,16,
866,ظهر شمال,40,172,,0,,16,
867,سدر يمين,40,172,,0,,16,
868,سدر شمال,40,172,,0,,16,
869,كمر,40,172,,0,,16,
870,باليتة سوستة,40,172,,0,,16,
871,جيب أمامي,40,344,,0,,16,
872,جيب خلفي,40,344,,0,,16,
873,بطانة جيب,40,688,,0,,16,
874,كسر سوستة,40,172,,0,,16,
875,جيب ساعة,40,172,,0,,16,
876,دوبلير كمر,40,172,,0,,16,
877,ظهر يمين,42,172,,0,,16,
878,ظهر شمال,42,172,,0,,16,
879,سدر يمين,42,172,,0,,16,
880,سدر شمال,42,172,,0,,16,
881,كمر,42,172,,0,,16,
882,باليتة سوستة,42,172,,0,,16,
883,جيب أمامي,42,344,,0,,16,
884,جيب خلفي,42,344,,0,,16,
885,بطانة جيب,42,688,,0,,16,
886,كسر سوستة,42,172,,0,,16,
887,جيب ساعة,42,172,,0,,16,
888,دوبلير كمر,42,172,,0,,16,
