id,created_at,product_id,created_by_id,is_active,notes,version,size_group_id,parent_id
1,2025-07-06 07:13:31.588067,31,1,0,,1,1,
2,2025-07-06 07:24:42.087996,31,1,0,,2,1,1.0
3,2025-07-06 07:25:39.386584,31,1,1,,3,1,2.0
4,2025-07-06 12:35:33.400933,36,1,0,,1,3,
5,2025-07-06 13:04:26.740111,36,1,1,,2,3,4.0
6,2025-07-06 13:08:52.275991,34,1,1,,1,2,
7,2025-07-07 09:01:22.408844,37,1,1,ميكس الوان,1,4,
8,2025-07-09 10:48:03.736571,38,1,1,,1,4,
9,2025-07-09 12:07:33.449653,39,1,1,,1,9,
10,2025-07-09 13:22:51.449823,40,1,1,,1,5,
11,2025-07-12 08:39:31.587235,43,1,1,,1,5,
12,2025-07-13 11:25:33.922088,44,1,1,,1,10,
13,2025-07-19 08:42:44.542037,47,1,1,,1,10,
14,2025-07-19 09:29:34.524081,46,1,1,,1,5,
15,2025-07-19 09:38:18.706937,48,1,1,,1,5,
16,2025-07-21 12:55:30.258826,51,1,0,,1,5,
17,2025-07-21 12:57:05.002274,53,1,1,,1,2,
18,2025-07-21 12:57:42.321218,51,1,1,,2,5,16.0
